minotaur_base,Minotaur Base
bamboo_base,Bamboozler Base
birthday_cake_base,Birthday Cake Base
candy_cane_base,Candy Cane Base
choc_cake_base,Chocolate Birthday Cake Base
dehydration_base,Dehydration Base
explosive_base,Explosive Base
gingerbread_base,Gingerbread Base
magma_base,Magma Base
monolith_base,Monolith Base
wooden_base,Wooden Base
wooden_base_with_target,Wooden Base with Target
cheese_cake_base,Cheesecake Base
jade_base,Jade Base
carrot_cake_base,Carrot Birthday Cake Base
hearthstone_base,Hearthstone Base
magnet_base,Magnet Base
remote_detonator_base,Remote Detonator Base
spiked_base,Spiked Base
deep_freeze_base,Deep Freeze Base
rift_base,Rift Base
crushed_birthday_cake_base,Crushed Birthday Cake Base
eerie_base,Eerie Base
eerie_upgraded_base,Eerier Base
birthday_dragee_cake_base,Birthday Dragée Cake Base
fissure_base,Fissure Base
fracture_base,Fracture Base
cupcake_birthday_base,Cupcake Birthday Base
labyrinth_base,Labyrinth Base
cupcake_2016_birthday_base,Extra Sweet Cupcake Birthday Base
furoma_rift_energy_base,Enerchi Induction Base
living_base,Living Base
furoma_rift_energy_upgraded_base,Attuned Enerchi Induction Base
cupcake_2017_birthday_base,Sprinkly Sweet Cupcake Birthday Base
clockwork_base,Clockwork Base
ancient_booster_base,Ancient Booster Base
festive_winter_hunt_base,Festive Winter Hunt Base
dog_jade_base,Dog Jade Base
tenth_birthday_2018_cake_base,10 Layer Birthday Cake Base
queso_canyon_base,Overgrown Ember Stone Base
black_widow_base,Black Widow Base
furoma_base,Furoma Base
deadwood_plank_base,Deadwood Plank Base
new_years_2019_base,2019 New Year's Base
snow_golem_base,Glowing Golem Guardian Base
pig_jade_base,Pig Jade Base
birthday_banana_cake_base,Birthday Banana Cake Base
aurora_base,Aurora Base
living_grove_base,Living Grove Base
hallowed_ground_base,Hallowed Ground Base
desert_heater_base,Desert Heater Base
new_years_2020_base,2020 New Year's Base
treasure_gwh_base,Treasure Seeker Base
rat_jade_base,Rat Jade Base
birthday_confetti_cake_base,Birthday Confetti Cake Base
